id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,statistics canada open licence agreement this agreement is between her majesty the queen in right of canada as represented by the minister for statistics canada statistics canada and you an individual or a legal entity that you are authorized to represent,0,0,0,0,0,0,0,0,0,0,0,0,0
2,the following are terms governing your use of the information,0,0,0,0,0,0,0,0,0,0,0,0,1
3,your use of any information indicates your understanding and agreement to be bound by these terms,0,0,0,0,0,0,0,0,0,0,0,0,1
4,if you do not agree to these terms you may not use the information,0,0,0,0,0,0,0,0,0,0,0,0,0
5,subject to this agreement statistics canada grants you a worldwide royalty free non exclusive licence to use reproduce publish freely distribute or sell the information use reproduce publish freely distribute or sell value added products and sublicence any or all such rights under terms consistent with this agreement,1,1,1,1,0,0,0,0,0,0,0,0,1
6,in doing any of the above you shall reproduce the information accurately not use the information in a way that suggests that statistics canada endorses you or your use of the information not misrepresent the information or its source use the information in a manner that does not breach or infringe any applicable laws not merge or link the information with any other databases for the purpose of attempting to identify an individual person business or organization and not present the information in such a manner that gives the appearance that you may have received or had access to information held by statistics canada about any identifiable individual person business or organization,0,0,0,0,0,0,0,0,0,0,0,0,1
7,intellectual property rights intellectual property rights being any and all intellectual property rights recognized by the law including but not limited to intellectual property rights protected through legislation in value added products shall vest in you in such person as you shall decide or as determined by law,0,0,0,0,1,0,0,0,0,0,1,0,0
8,intellectual property rights that statistics canada may have in the information shall remain the property of statistics canada,0,0,0,0,0,0,0,0,0,0,0,0,0
9,intellectual property rights that third parties may have in the information shall remain their property,0,1,0,0,0,0,0,0,0,0,0,0,0
10,acknowledgment of source a you shall include and maintain the following notice on all licensed rights of the information source statistics canada name of product reference date,0,0,0,0,0,0,0,0,0,0,0,0,1
11,reproduced and distributed on an as is basis with the permission of statistics canada,0,0,0,0,0,0,0,0,0,0,0,0,1
12,b where any information is contained within a value added product you shall include on such value added product the following notice adapted from statistics canada name of product reference date,0,0,0,0,0,0,0,0,0,0,0,0,1
13,this does not constitute an endorsement by statistics canada of this product,0,0,0,0,0,0,0,0,0,0,0,0,0
14,advertising and publicity you shall not include on any reproduction of the information or any material relating to your value added product or elsewhere a the name crest logos or other insignia or domain names of statistics canada or the official symbols of the government of canada including the canada wordmark the coat of arms of canada and the flag symbol without written authorization from the treasury board secretariat,0,0,0,0,0,1,0,0,0,0,0,0,0
15,request for authorization from the treasury board secretariat may be addressed to information@fip pcimgcca federal identity program treasury board of canada secretariat 300 laurier avenue west ottawa canada k1a 0r5 b any annotation that may be interpreted as an endorsement by the statistics canada of the value added product or that would imply that you have an exclusive distribution arrangement for any or all of the information or that you have access to any confidential information or information not available to others,0,0,0,0,0,0,0,0,0,0,0,0,1
16,no warranty and no liability the information is licensed as is and statistics canada makes no representations or warranties whatsoever with respect to the information whether express or implied in relation to the information and expressly disclaims any implied warranty of merchantability or fitness for a particular purpose of the information,0,0,0,0,0,0,0,0,0,0,0,1,0
17,statistics canada or any of its ministers officials servants employees agents successors and assigns shall not be liable for any errors or omissions in the information and shall not under any circumstances be liable for any direct indirect special incidental consequential or other loss injury or damage however caused that you may suffer at any time by reason of your possession access to or use of the information or arising out of the exercise of your rights or the fulfilment of your obligations under this agreement,0,0,0,0,0,0,0,0,0,0,1,0,0
18,term this agreement is effective as of the date and time you access the information and shall terminate automatically if you breach any of the terms of this agreement,0,0,0,0,0,0,0,0,0,0,0,0,1
19,notwithstanding termination of this agreement you may continue to distribute value added products for the purpose of completing orders made before the termination of this agreement provided you comply with the requirements set out in the acknowledgment of source clause and individuals or entities who have received value added products or reproductions of the information from you pursuant to this agreement will not have their licences terminated provided they remain in full compliance with those licences,0,0,0,0,0,0,0,0,0,0,0,0,1
20,survival all obligations which expressly or by their nature survive termination of this agreement shall continue in full force and effect,0,0,0,0,0,0,0,0,0,0,1,0,0
21,for greater clarity and without limiting the generality of the foregoing the following provisions survive expiration or termination of this agreement acknowledgment of source and no warranty and no liability,0,0,0,0,0,0,0,0,0,0,0,1,0
22,applicable law this agreement shall be governed and construed in accordance with the laws of the province of ontario and the laws of canada applicable therein,0,0,0,0,0,0,0,0,0,0,0,1,0
