id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,terms and conditions of purchase general in these terms and conditions of purchase purchase terms customer means an individual or a legal entity purchasing product directly from jetbrains or its affiliate,1,0,0,0,0,0,0,0,0,0,0,0,0
2,with its registered office at na hÃÂ¥ÃÂebenech ii 1718 10 prague 14700 czech republic registered with commercial register kept by the municipal court of prague section c file 86211 idnr,1,0,0,0,0,0,0,0,0,0,0,0,0
3,affiliate means for the purpose of these purchase terms a jetbrains americas inc a delaware corporation with its registered office at 324 new brooklyn road berlin nj 08009 usa ii jetbrains gmbh with its registered office at elsenheimerstraÃÂ£ÃÂe 47 mÃÂ£ÃÂ¼nchen 80687 germany or iii jetbrains co ltd with its registered office at universitetskaya emb 7 9 11 5 lita st petersburg 199034 russian federation,1,0,0,0,0,0,0,0,0,0,0,0,0
4,product means any software program or service made available by jetbrains,0,0,0,0,0,0,0,0,0,0,0,1,0
5,the use of product by customer is governed by the applicable end user license agreement subscription terms or terms of service collectively terms of use set forth by jetbrains,0,0,0,0,0,0,0,0,1,0,0,0,1
6,customer accepts these purchase terms by placing an order for product with jetbrains or its affiliate,0,0,0,0,0,0,0,0,0,0,0,0,1
7,when placing an order for product directly with jetbrains customer enters into a legally binding agreement with jetbrains,0,0,0,0,0,0,0,0,0,0,0,0,0
8,when placing an order for product with affiliate customer enters into a legally binding agreement with the relevant affiliate,0,0,0,0,0,0,0,0,0,0,0,0,0
9,orders placed by customer with a reseller of jetbrains or its affiliate are subject to terms and conditions of purchase set forth by that reseller,0,0,0,0,0,0,0,0,0,0,0,0,1
10,order placement and acceptance customer may place an order with jetbrains or its affiliate based on the customer country online on the jetbrains website wwwjetbrainscom by fax or e mail using the appropriate contact of jetbrains or its affiliate,0,0,0,0,0,0,0,0,0,0,0,0,1
11,customer can modify order details before acceptance of the customer order by jetbrains or its affiliate by a written notice to jetbrains or the relevant affiliate,0,0,0,0,0,0,0,0,0,0,0,0,1
12,english is the preferred language for order related enquiries,0,0,0,0,0,0,0,0,0,0,0,0,1
13,any order is not binding upon jetbrains or its affiliate until accepted by jetbrains or the relevant affiliate,0,0,0,0,0,0,0,0,0,0,0,0,0
14,non acceptance of an order may be the result of one of the following failed payment growing backlog or negative payment history incomplete or incorrect order details such as missing e mail address for delivery missing customer billing address or a pricing or product description error among others ineligibility according to the order criteria eg,0,0,0,0,0,0,0,0,0,0,0,0,1
15,entitlement to upgrade or to certain product purchase options restricted to particular users or purpose of use or for any reason at the sole discretion of jetbrains or the relevant affiliate,1,0,0,0,0,0,0,0,0,0,0,0,1
16,prices and payment terms jetbrains and its affiliates set prices and accept payments for products in one of the following major currencies depending on the customer country usd eur gbp or czk,0,0,0,0,0,0,0,0,0,0,1,0,0
17,prices in any currency are subject to change by jetbrains or its affiliate,0,0,0,0,0,0,0,0,0,0,0,0,0
18,jetbrains and its affiliates accept major debit and credit cards collectively payment cards for online orders via third party payment gateway providers including but not limited to adyen and paypal,0,0,0,0,0,0,0,0,0,0,0,0,0
