id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,## acceptance in order to get any license under these terms you must agree to them as both strict obligations and conditions to all your licenses,0,0,0,0,0,0,0,0,1,0,0,0,0
2,## copyright license the licensor grants you a copyright license for the software to do everything you might do with the software that would otherwise infringe the licensors copyright in it for any permitted purpose,0,0,0,0,0,0,0,0,0,0,0,0,0
3,however you may only distribute the software according to [distribution license]#distribution license and make changes or new works based on the software according to [changes and new works license]#changes and new works license,0,1,1,0,0,0,0,0,1,0,0,0,1
4,## distribution license the licensor grants you an additional copyright license to distribute copies of the software,0,0,0,0,0,0,0,0,0,0,0,0,1
5,your license to distribute covers distributing the software with changes and new works permitted by [changes and new works license]#changes and new works license,0,1,1,0,0,0,0,0,1,0,0,0,1
6,## notices you must ensure that anyone who gets a copy of any part of the software from you also gets a copy of these terms or the url for them above as well as copies of any plain text lines beginning with `required notice` that the licensor provided with the software,0,0,0,0,0,0,0,1,0,0,0,0,1
7,for example > required notice copyright yoyodyne inc http  examplecom ## changes and new works license the licensor grants you an additional copyright license to make changes and new works based on the software for any permitted purpose,0,0,0,0,0,0,0,1,0,0,0,0,1
8,## patent license the licensor grants you a patent license for the software that covers patent claims the licensor can license or becomes able to license that you would infringe by using the software,0,0,0,0,1,0,0,0,0,0,0,0,0
9,## fair use you may have fair use rights for the software under the law,0,0,0,0,0,0,0,0,0,0,0,0,1
10,## small business use of the software for the benefit of your company is use for a permitted purpose if your company has fewer than 100 total individuals working as employees and independent contractors and less than 1000000 usd 2019 total revenue in the prior tax year,1,0,0,0,0,0,0,0,0,0,0,0,1
11,adjust this revenue threshold for inflation according to the united states bureau of labor statistics consumer price index for all urban consumers us city average for all items not seasonally adjusted with 1982ÃÂ£ÃÂ¢ÃÂ¢ÃÂÃÂ¬ÃÂ¢ÃÂÃÂ1984100 reference base,0,0,0,0,0,0,0,0,0,0,1,0,1
12,## no other rights these terms do not allow you to sublicense or transfer any of your licenses to anyone else or prevent the licensor from granting licenses to anyone else,1,0,0,0,0,0,0,0,0,0,0,0,0
13,## patent defense if you make any written claim that the software infringes or contributes to infringement of any patent your patent license for the software granted under these terms ends immediately,0,0,0,0,1,0,0,0,0,0,0,0,0
14,if your company makes such a claim your patent license ends immediately for work on behalf of your company,0,0,0,0,0,0,0,0,0,0,0,0,0
15,## violations the first time you are notified in writing that you have violated any of these terms or done anything with the software not covered by your licenses your licenses can nonetheless continue if you come into full compliance with these terms and take practical steps to correct past violations within 32 days of receiving notice,0,0,0,0,0,0,0,0,1,0,0,0,1
