id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,eclipseorg makes available software documentation information and or other materials for open source projects collectively content,0,0,0,0,0,0,1,0,0,0,0,0,1
2,use of the content is governed by the terms and conditions of this agreement and or the terms and conditions of license agreements or notices indicated or referenced below,0,1,0,0,0,0,0,0,1,0,0,0,1
3,by using the content you agree that your use of the content is governed by this agreement and or the terms and conditions of any applicable license agreements or notices indicated or referenced below,0,0,0,0,0,0,0,0,1,0,0,0,1
4,if you do not agree to the terms and conditions of this agreement and the terms and conditions of any applicable license agreements or notices indicated or referenced below then you may not use the content,0,0,0,0,0,0,0,0,0,0,0,0,1
5,unless otherwise indicated all content made available by eclipseorg is provided to you under the terms and conditions of the common public license version 05,0,0,0,0,0,0,0,0,0,0,0,0,1
6,for purposes of the common public license program will mean the content,0,0,0,0,0,0,0,0,0,0,0,0,0
7,content includes but is not limited to source code object code documentation and other files maintained in the eclipseorg cvs repository repository and subsequently released as project builds builds,0,0,0,0,0,0,1,0,0,0,0,0,1
8,content as files may contain portions distributed under different license agreements and or notices,0,1,0,0,0,0,0,0,1,0,0,0,1
9,details about these license agreements and notices are contained in abouthtml files abouts,0,0,0,0,0,0,0,1,0,0,0,0,1
10,abouts are located in the repository in the root directory for each cvs module,0,0,0,0,0,0,0,0,0,0,0,0,1
11,abouts in builds may be in the program root directory and plug in directories,0,0,0,0,0,0,0,0,0,0,0,0,1
12,such abouts govern your use of the associated software in that directory not the common public license,0,0,0,0,0,0,0,0,0,0,0,0,1
13,you must agree to the terms and conditions of the common public license version 05 and all abouts contained in any content and any other terms and conditions that are provided with the content if any,0,0,0,0,0,0,0,0,0,0,0,0,1
14,the country in which you are currently may have restrictions on the import possession and use and or re export to another country of encryption software,0,1,0,0,0,0,0,0,0,0,0,0,1
