id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,you may use this software on any number of computers for as long as you like and you dont have to pay a penny,0,0,0,0,0,0,0,0,0,0,0,0,1
2,there are no crippled features for registered users only no time delays and no stupid nag screens,1,0,0,0,0,0,0,0,0,0,0,0,0
3,all that said stickies is not public domain software,0,0,0,0,0,0,0,0,0,0,0,0,0
4,i allow the free distribution of the software but i retain ownership and copyright of the software and its source code in its entirety,0,1,0,0,0,0,0,0,0,0,0,0,1
5,you may use and or distribute this software only subject to the following conditions you may not modify the program or documentation files in any way,0,1,1,0,0,0,0,0,0,0,0,0,1
6,you may not sell the software or charge a distribution fee except to recover the media costs,1,1,0,0,0,0,0,0,0,0,0,0,1
7,you may not remove my name or copyright notification and you may not claim to be the owner or author of this software,0,0,0,0,0,1,0,0,0,0,0,0,0
8,you understand and agree with this licence and with the disclaimer printed below,0,0,0,0,0,0,0,0,0,0,0,0,1
9,disclaimer while every care has been taken to ensure that stickies is safe non destructive and will not lose your data you use this product entirely at your own risk,0,0,0,0,0,0,0,0,0,0,0,0,0
10,the author will not be held responsible or liable for any damages resulting from your use misuse or inability to use this product,0,0,0,0,0,0,0,0,0,0,1,0,0
