id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,recitals realnetworks inc rn has developed specifications source code implementations and executables of the helix dna code and an associated tck and rn desires to license the helix dna code to a large community to facilitate research innovation and product development while maintaining compatibility of such products with the helix dna code as delivered by rn therefore rn makes available the helix dna code the specifications and the tck available for research and development use only under the following terms license 1,0,0,0,0,0,0,1,0,0,0,0,0,1
2,the realnetworks community source license ÃÂ¢ÃÂÃÂ research and development use rcsl r&d or license is a license to use the source code of certain portions of the helix dna code specifications and the tck for research and development use only,0,0,0,1,0,0,1,0,0,0,0,0,1
3,you licensee as more specifically defined below accept the terms of this license by downloading or using the helix dna code the specifications or the tck unless licensee and rn have signed a license agreement that expressly supersedes this rcsl r&d,0,0,0,0,0,0,0,0,0,0,0,0,1
4,this license does not include a license to access or modify the source code of the real format client code,0,0,0,0,0,0,0,0,0,0,0,0,1
5,if licensee desires the right to receive access to the source code of the real format client code for the purposes of porting and optimization licensee and rn may elect to execute a real format source code porting and optimization agreement,0,0,0,0,0,0,1,0,0,0,0,0,1
6,this license does not include a license to make commercial use of the helix dna code or real format client code,1,0,0,0,0,0,0,0,0,0,0,0,0
7,if licensee desires a license for commercial use of the helix dna code or real format client code licensee and rn may desire to execute the realnetworks community source license   commercial use rcsl commercial for the version of the helix dna code or real format client code of which licensee would like to make commercial use,1,0,0,1,0,0,0,0,0,0,0,0,1
8,once executed by licensee and rn the rcsl commercial would supersede the terms of this license,0,0,0,0,0,0,0,0,0,0,0,0,0
9,capitalized terms used in this license are defined in the glossary attached to the end of this license,0,0,0,0,0,0,0,1,0,0,0,0,1
10,21 rn grant to use covered code specifications and tck,0,0,0,0,0,0,0,0,0,0,0,0,1
11,subject to licenseeÃÂ¢ÃÂÃÂs compliance with the terms of this license rn grants to licensee a worldwide royalty free non exclusive license to the extent of rns intellectual property rights covering the covered code specifications and the tck to do the following a research use license,0,0,0,0,1,0,0,0,0,0,0,0,1
12,i use reproduce and modify the covered code and specifications to create modifications and reformatted specifications for research use by licensee ii publish and display covered code and specifications with or as part of modifications as permitted under section 31b below iii reproduce and distribute copies of covered code to licensees and students for research use by licensee iv compile reproduce and distribute covered code in executable form and reformatted specifications to anyone for research use by licensee and v use the tck to develop and test covered code,0,1,1,1,0,0,0,0,0,0,0,0,1
