id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,end user license agreement red hatÃÂ¢ÃÂ® enterprise linuxÃÂ¢ÃÂ® and red hat applications this end user license agreement eula governs the use of any of the versions of red hat enterprise linux any red hat applications as set forth at wwwredhatcom licenses products and any related updates source code appearance structure and organization the programs regardless of the delivery mechanism,0,0,0,0,0,0,0,0,0,0,0,0,1
2,subject to the following terms red hat inc red hat grants to you user a perpetual worldwide license to the programs pursuant to the gnu general public license v2,0,0,0,0,0,0,0,0,0,0,0,0,1
3,the programs are either a modular operating system or an application consisting of hundreds of software components,0,0,0,0,0,0,0,0,0,0,0,1,1
4,with the exception of certain image files identified in section 2 below the license agreement for each software component is located in the software components source code and permits user to run copy modify and redistribute subject to certain obligations in some cases the software component in both source code and binary code forms,0,1,1,1,0,0,1,0,0,0,0,0,1
5,this eula pertains solely to the programs and does not limit users rights under or grant user rights that supersede the license terms of any particular component,0,0,0,0,0,0,0,0,0,0,0,0,0
6,the programs and each of their components are owned by red hat and others and are protected under copyright law and under other laws as applicable,0,1,0,0,0,0,0,1,0,0,0,0,0
7,title to the programs and any component or to any copy modification or merged portion shall remain with the aforementioned subject to the applicable license,0,0,0,0,0,0,0,0,0,0,0,0,1
8,the red hat trademark and the shadowman logo are registered trademarks of red hat in the us and other countries,0,0,0,0,0,1,0,0,0,0,0,0,0
9,this eula does not permit user to distribute the programs or their components using red hats trademarks regardless of whether the copy has been modified,0,0,0,0,0,0,0,0,0,0,0,0,1
10,user should read the information found at http  wwwredhatcom about corporate trademark  before distributing a copy of the programs,0,0,0,0,0,0,0,0,0,0,0,0,1
11,user may make a commercial redistribution of the programs only if a a separate agreement with red hat authorizing such commercial redistribution is executed or other written permission is granted by red hat or b user modifies any files identified as redhat logos to remove and replace all images containing the red hat trademark or the shadowman logo,1,1,0,1,0,0,0,1,0,0,0,0,1
12,except as specifically stated in this section 3 a separate agreement with red hat or a license for a particular component to the maximum extent permitted under applicable law the programs and the components are provided and licensed as is without warranty of any kind expressed or implied including the implied warranties of merchantability non infringement or fitness for a particular purpose,0,0,0,0,0,0,0,0,0,0,0,1,0
