id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,this open software license the license applies to any original work of authorship the original work whose owner the licensor has placed the following notice immediately following the copyright notice for the original work licensed under the open software license version 10 license terms 1 grant of copyright license,0,0,0,0,0,0,0,1,1,0,0,0,1
2,licensor hereby grants you a world wide royalty free non exclusive perpetual non sublicenseable license to do the following a to reproduce the original work in copies b to prepare derivative works derivative works based upon the original work c to distribute copies of the original work and derivative works to the public with the proviso that copies of original work or derivative works that you distribute shall be licensed under the open software license d to perform the original work publicly and e to display the original work publicly,0,1,1,1,0,0,0,0,0,0,0,0,1
3,licensor hereby grants you a world wide royalty free non exclusive perpetual non sublicenseable license under patent claims owned or controlled by the licensor that are embodied in the original work as furnished by the licensor licensed claims to make use sell and offer for sale the original work,1,0,0,0,1,0,0,0,0,0,0,0,1
4,licensor hereby grants you a world wide royalty free non exclusive perpetual non sublicenseable license under the licensed claims to make use sell and offer for sale derivative works,1,0,0,0,1,0,0,0,0,0,0,0,1
5,the term source code means the preferred form of the original work for making modifications to it and all available documentation describing how to access and modify the original work,0,1,1,0,0,0,1,0,0,1,0,0,1
6,licensor hereby agrees to provide a machine readable copy of the source code of the original work along with each copy of the original work that licensor distributes,0,0,0,0,0,0,1,0,0,0,0,0,1
7,licensor reserves the right to satisfy this obligation by placing a machine readable copy of the source code in an information repository reasonably calculated to permit inexpensive and convenient access by you for as long as licensor continues to distribute the original work and by publishing the address of that information repository in a notice immediately following the copyright notice that applies to the original work,0,0,0,0,0,0,1,1,0,0,0,0,1
8,nothing in this license shall be deemed to grant any rights to trademarks copyrights patents trade secrets or any other intellectual property of licensor except as expressly stated herein,0,0,0,0,0,1,0,0,0,0,0,0,0
9,no patent license is granted to make use sell or offer to sell embodiments of any patent claims other than the licensed claims defined in section 2,1,0,0,0,1,0,0,0,0,0,0,0,0
10,no right is granted to the trademarks of licensor even if such marks are included in the original work,0,0,0,0,0,0,0,0,0,0,0,0,0
11,nothing in this license shall be interpreted to prohibit licensor from licensing under different terms from this license any original work that licensor otherwise would have a right to license,0,0,0,0,0,1,0,0,1,0,0,0,0
12,the term external deployment means the use or distribution of the original work or derivative works in any way such that the original work or derivative works may be accessed or used by anyone other than you whether the original work or derivative works are distributed to those persons made available as an application intended for use over a computer network or used to provide services or otherwise deliver content to anyone other than you,0,0,0,0,0,0,0,0,0,0,0,0,1
13,as an express condition for the grants of license hereunder you agree that any external deployment by you shall be deemed a distribution and shall be licensed to all under the terms of this license as prescribed in section 1c herein,0,0,0,0,0,0,0,0,1,0,0,0,1
14,licensor warrants that the copyright in and to the original work is owned by the licensor or that the original work is distributed by licensor under a valid current license from the copyright owner,0,0,0,0,0,0,0,1,0,0,0,0,0
15,except as expressly stated in the immediately preceeding sentence the original work is provided under this license on an as is basis without warranty either express or implied including without limitation the warranty of non infringement and warranties that the original work is merchantable or fit for a particular purpose,0,0,0,0,0,0,0,0,0,0,0,1,0
16,the entire risk as to the quality of the original work is with you,0,0,0,0,0,0,0,0,0,0,0,0,0
17,this disclaimer of warranty constitutes an essential part of this license,0,0,0,0,0,0,0,0,0,0,0,1,0
18,no license to original work is granted hereunder except under this disclaimer,0,0,0,0,0,0,0,1,0,0,0,0,1
19,under no circumstances and under no legal theory whether tort including negligence contract or otherwise shall the licensor be liable to any person for any direct indirect special incidental or consequential damages of any character arising as a result of this license or the use of the original work including without limitation damages for loss of goodwill work stoppage computer failure or malfunction or any and all other commercial damages or losses even if such person shall have been informed of the possibility of such damages,0,0,0,0,0,0,0,0,0,0,1,0,0
20,this limitation of liability shall not apply to liability for death or personal injury resulting from such partys negligence to the extent applicable law prohibits such limitation,0,0,0,0,0,0,0,0,0,0,1,0,0
21,some jurisdictions do not allow the exclusion or limitation of incidental or consequential damages so this exclusion and limitation may not apply to you,0,0,0,0,0,0,0,0,0,0,1,0,0
22,nothing else but this license or another written agreement between licensor and you grants you permission to create derivative works based upon the original work and any attempt to do so except under the terms of this license or another written agreement between licensor and you is expressly prohibited by us copyright law the equivalent laws of other countries and by international treaty,0,0,0,0,0,0,0,0,0,0,0,0,1
23,therefore by exercising any of the rights granted to you in sections 1 and 2 herein you indicate your acceptance of this license and all of its terms and conditions,0,0,0,0,0,0,0,0,0,0,0,0,1
24,this license shall terminate immediately and you may no longer exercise any of the rights granted to you by this license upon your failure to honor the proviso in section 1c herein,0,0,0,0,0,0,0,0,0,0,0,0,0
25,this license shall terminate automatically and you may no longer exercise any of the rights granted to you by this license if you file a lawsuit in any court alleging that any osi certified open source software that is licensed under any license containing this mutual termination for patent action clause infringes any patent claims that are essential to use that software,0,0,0,0,1,0,0,0,0,0,0,0,0
26,you agree that any lawsuit arising under or relating to this license shall be maintained in the courts of the jurisdiction wherein the licensor resides or in which licensor conducts its primary business and under the laws of that jurisdiction excluding its conflict of law provisions,0,0,0,0,0,0,0,0,1,0,1,0,0
27,the application of the united nations convention on contracts for the international sale of goods is expressly excluded,0,0,0,0,0,0,0,0,0,0,1,0,0
28,any use of the original work outside the scope of this license or after its termination shall be subject to the requirements and penalties of the us,0,0,0,0,0,0,0,0,0,0,0,0,1
29,ÃÂ¢ÃÂ§ 101 et seq the equivalent laws of other countries and international treaty,0,0,0,0,0,0,0,0,0,0,0,0,0
30,this section shall survive the termination of this license,0,0,0,0,0,0,0,0,0,0,0,1,1
31,in any action to enforce the terms of this license or seeking damages relating thereto the prevailing party shall be entitled to recover its costs and expenses including without limitation reasonable attorneys fees and costs incurred in connection with such action including any appeal of such action,0,0,0,0,0,0,0,0,0,0,1,0,0
32,this section shall survive the termination of this license,0,0,0,0,0,0,0,0,0,0,0,0,1
33,this license represents the complete agreement concerning the subject matter hereof,0,0,0,0,0,0,0,0,0,0,0,0,1
34,if any provision of this license is held to be unenforceable such provision shall be reformed only to the extent necessary to make it enforceable,0,0,0,0,0,0,0,0,0,0,0,0,0
35,you throughout this license whether in upper or lower case means an individual or a legal entity exercising rights under and complying with all of the terms of this license,0,0,0,0,0,0,0,0,0,0,0,0,0
36,for legal entities you includes any entity that controls is controlled by or is under common control with you,0,0,0,0,0,0,0,0,0,0,0,0,0
37,for purposes of this definition control means i the power direct or indirect to cause the direction or management of such entity whether by contract or otherwise or ii ownership of fifty percent 50% or more of the outstanding shares or iii beneficial ownership of such entity,0,0,0,0,0,0,0,0,0,0,0,0,0
38,this license is copyright c 2002 lawrence e rosen,0,0,0,0,0,0,0,1,0,0,0,0,0
39,permission is hereby granted to copy and distribute this license without modification,0,1,1,1,0,0,0,0,0,0,0,0,1
