id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,1you may use this package for commercial or non commercial purposes without charge,1,0,0,1,0,0,0,0,0,0,0,0,1
2,2you may make and give away verbatim copies of this package for personal use or for use within your organization provided that you duplicate all of the original copyright notices and associated disclaimers,0,0,0,0,0,0,0,1,0,0,0,0,1
3,you may not distribute copies of this package or copies of packages derived from this package to others outside your organization without specific prior written permission from activestate although you are encouraged to direct them to sources from which they may obtain it for themselves,0,1,0,0,0,0,0,0,0,0,0,0,1
4,3you may apply bug fixes portability fixes and other modifications derived from activestate,0,0,0,0,0,0,0,0,0,1,0,0,1
5,a package modified in such a way shall still be covered by the terms of this license,0,0,0,0,0,0,0,0,0,0,0,0,1
6,4in addition to the above allowed uses this license does allow for the redistribution of parts of the package together with other software code in a wrapped format including but not limited to a format wrapped with executable generators such as py2app or py2exe,0,0,0,1,0,0,0,0,0,0,0,0,1
7,however if you wish to redistribute the complete package either as a standalone distribution or in a wrapped format you must obtain written permission from activestate,0,1,0,0,0,0,0,0,0,0,0,0,1
8,to obtain permission for redistribution or clarification regarding your particular intended use of the package please contact us,0,0,0,0,0,0,0,0,0,0,0,0,1
9,5activestates name and trademarks may not be used to endorse or promote packages derived from this package without specific prior written permission from activestate,0,0,0,0,0,1,0,0,0,0,0,0,0
10,6this package is provided as is and without any express or implied warranties including without limitation the implied warranties of merchantibility and fitness for a particular purpose,0,0,0,0,0,0,0,0,0,0,0,1,0
11,7this package may be subject to export controls imposed by applicable laws and regulations which may prohibit or restrict the distribution exportation and re exportation of the package,0,1,0,0,0,0,0,0,0,0,0,0,1
12,you will comply with all applicable export control laws including such laws of the us canada and the european community in effect from time to time including without limitation the canadian export and import permits act the canadian united nations act and the us foreign corrupt practices act and with all export laws and restrictions and regulations of the united states department of commerce or other united states european community or other foreign agency or authority and will not distribute export or re export or allow the distribution export or re export of the package or any copy or adaptation of direct product thereof or any underlying technology except in full compliance with any and all such applicable laws restrictions and regulations,0,1,0,0,0,0,0,0,0,0,0,0,1
