id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,grant of rights a copyright grant  subject to the terms of this license including the license conditions and limitations in section 3 each contributor grants you a non exclusive worldwide royalty free copyright license to reproduce its contribution prepare derivative works of its contribution and distribute its contribution or any derivative works that you create,0,1,0,0,0,0,0,0,0,0,0,0,1
2,b patent grant  subject to the terms of this license including the license conditions and limitations in section 3 each contributor grants you a non exclusive worldwide royalty free license under its licensed patents to make have made use sell offer for sale import and or otherwise dispose of its contribution in the software or derivative works of the contribution in the software,1,0,0,0,1,0,0,0,0,0,0,0,1
3,conditions and limitations a reciprocal grants  for any file you distribute that contains code from the software in source code or binary format you must provide recipients the source code to that file along with a copy of this license which license will govern that file,0,1,0,0,0,0,1,0,0,0,0,0,1
4,you may license other files that are entirely your own work and do not contain code from the software under any terms you choose,0,1,0,0,0,0,0,0,0,0,0,0,1
5,b no trademark license  this license does not grant you rights to use any contributors name logo or trademarks,0,0,0,0,0,1,0,0,0,0,0,0,0
6,c if you bring a patent claim against any contributor over patents that you claim are infringed by the software your patent license from such contributor to the software ends automatically,0,0,0,0,1,0,0,0,0,0,0,0,0
7,d if you distribute any portion of the software you must retain all copyright patent trademark and attribution notices that are present in the software,0,0,0,0,0,0,0,1,0,0,0,0,1
8,e if you distribute any portion of the software in source code form you may do so only under this license by including a complete copy of this license with your distribution,0,0,0,0,0,0,0,1,0,0,0,0,1
9,if you distribute any portion of the software in compiled or object code form you may only do so under a license that complies with this license,0,0,0,0,0,0,0,0,1,0,0,0,1
10,the contributors give no express warranties guarantees or conditions,0,0,0,0,0,0,0,0,0,0,0,1,0
11,you may have additional consumer rights under your local laws which this license cannot change,0,0,0,0,0,0,0,0,0,0,0,0,0
