id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,subject to the terms and conditions of this agreement including the requirements and restrictions below adobe grants you the non exclusive non transferable right to use the sdk in accordance with the documentation as follows 31 installation use and copying,,,,,,,,,,,,
2,you may install and use the build tools and runtime components solely for purpose of developing compliant developer applications,,,,,,,,,,,,
3,you may make a limited and reasonable number of copies of the sdk for purposes of your internal development of developer applications,,,,,,,,,,,,
4,you may modify the sample code and sdk source files provided to you in human readable ie source code format,,,,,,,,,,,,
5,you may incorporate the modified sample code and sdk source files into your developer applications,,,,,,,,,,,,
6,you may not modify the build tools except for files that are covered by third party licenses that allow you to do so documentation or the runtime software in any manner,,,,,,,,,,,,
7,in no event may you take any action to make the sdk subject to a license or scheme in which there is or could be interpreted that as a condition of use modification and or distribution the sdk be a disclosed or distributed in source code form b licensed for the purpose of making derivative works or c redistributable at no charge,,,,,,,,,,,,
8,you may not delete or in any manner alter the copyright notices trademarks logos or related notices or other proprietary rights notices of adobe and its licensors if any appearing on or within any portion of the sdk other than sample code or sdk source files that are substantially modified by you in accordance with this agreement,,,,,,,,,,,,
9,subject to the provisions of this agreement including the requirements and restrictions below you may copy and distribute the sample code sdk source files and object code redistributables as follows i distribution with developer application,,,,,,,,,,,,
10,you may distribute a sample code and sdk source files in source code object code modified or unmodified form in all cases incorporated into your developer application and b object code redistributables only as incorporated automatically ie incorporated solely as a byproduct of your use of the build tools into a developer application for mac windows ios or android platforms by using the object code redistributables in the  runtimes air captivate mac  runtimes air captivate win lib aot lib and  lib android lib runtimeclassesjar and  runtimes air android device runtimeapk folders respectively and ii distribution of sample code stand alone,,,,,,,,,,,,
11,you may distribute sample code but not sdk source files in source code or object code format on a stand alone basis or as bundled with other software as long as you first make modifications to such code that result in material improvements and iii distribution of sdk source files,,,,,,,,,,,,
12,you may distribute sdk source files but not the sample code in source code or object code format on a stand alone basis or as bundled with other components useful to developers as long as you first make modifications to such files that result in material improvements and provided that you a include a copyright notice reflecting copyright ownership in such modified files and b do not use mx mxml flex flash fl or adobe in any new package or class names distributed with the sdk source files,,,,,,,,,,,,
13,this agreement does not grant you the right to distribute the build tools except for files that are covered by third party licenses that allow you to do so documentation or runtime software,,,,,,,,,,,,
14,in no event may you take any action to make the sdk subject to a license or scheme in which there is or could be interpreted that as a condition of use modification and or distribution the sdk be a disclosed or distributed in source code form b licensed for the purpose of making derivative works or c redistributable at no charge,,,,,,,,,,,,
15,for information about obtaining the right to distribute such components with your product or service please refer to wwwadobecom go redistributeairsdk,,,,,,,,,,,,
16,if you distribute the sample code or sdk source files under this agreement you must include a copyright notice in such code files the relevant developer application or other larger work incorporating such code or files,,,,,,,,,,,,
17,you may not i make any statement that any developer application or other software is certified or otherwise guaranteed by adobe or ii use adobeâs name or trademarks to market any developer application or other software without written permission from adobe,,,,,,,,,,,,
18,adobe is not responsible to you or any other party for any software update or support or other liability that may arise from your distribution,,,,,,,,,,,,
19,at your option you may participate in the cross promotion program by completing the program agreement which can be found at wwwadobecom products air crosspromotion program agreementhtml and implementing the related api,,,,,,,,,,,,
20,you agree to hold adobe harmless from any and all liabilities losses actions damages or claims including product liability warranty and intellectual property claims and all reasonable expenses costs and attorneys fees arising out of or relating to your distribution of all or any portion of the sdk or any developer application provided that adobe cooperates with you at your expense in resolving any such claim,,,,,,,,,,,,
21,you shall not create or distribute any software including any developer application that interoperates with individual runtime components in a manner not documented by adobe,,,,,,,,,,,,
22,you shall not create or distribute any software including any developer application that is designed to interoperate with an un installed instance of the runtime software,,,,,,,,,,,,
23,you shall not create or distribute any developer application that runs without installation,,,,,,,,,,,,
24,you are not permitted to install or use the build tools or other portions of the sdk to develop software prohibited by this agreement,,,,,,,,,,,,
25,failure to comply with this section 51 is a breach of this agreement that immediately terminates all rights granted to you herein,,,,,,,,,,,,
26,you will not use the sdk to create develop or use any program software or service that a contains any viruses trojan horses worms time bombs cancelbots or other computer programming routines that are intended to damage detrimentally interfere with surreptitiously intercept or expropriate any system data or personal information b when used in the manner in which it is intended or marketed violates any law statute ordinance regulation or rights including any laws regulations or rights respecting intellectual property computer spyware privacy export control unfair competition antidiscrimination or advertising or c interferes with the operability of adobe or third party programs or software,,,,,,,,,,,,
27,this product is licensed under the avc patent portfolio license for the personal non commercial use of a consumer to a encode video in compliance with the avc standard avc video and or b decode avc video that was encoded by a consumer engaged in a personal non commercial activity and or was obtained from a video provider licensed to provide avc video,,,,,,,,,,,,
28,no license is granted or shall be implied for any other use,,,,,,,,,,,,
29,additional information may be obtained from mpeg la llc,,,,,,,,,,,,
30,you may not modify the runtime libraries or build tools,,,,,,,,,,,,
31,you may not access mp3 codecs within the runtime libraries other than through the published runtime apis,,,,,,,,,,,,
32,development use or distribution of a developer application that operates on non pc devices and that decodes mp3 data not contained within a swf flv or other file format that contains more than mp3 data may require one or more third party licenses,,,,,,,,,,,,
33,you will comply with all data protection and privacy laws and rules applicable to the personal information of your end users,,,,,,,,,,,,
34,you will conspicuously post a privacy policy that tells users what personal data you are going to use and how you will use display share or transfer that data,,,,,,,,,,,,
35,in addition you will include your privacy policy url conspicuously in the developer application and you must also include a link to your apps privacy policy in any app marketplace that provides you with the functionality to do so,,,,,,,,,,,,
36,adobe provides information about common privacy issues at wwwadobecom go air_developer_privacy,,,,,,,,,,,,
37,the sdk and any copies that you are authorized by adobe to make are the intellectual property of and are owned by adobe systems incorporated and its suppliers,,,,,,,,,,,,
38,the structure organization and code of the sdk provided to you in compiled or object code form are the valuable trade secrets and confidential information of adobe systems incorporated and its suppliers,,,,,,,,,,,,
39,the sdk is protected by copyright including by united states copyright law international treaty provisions and applicable laws in the country in which they are used,,,,,,,,,,,,
