id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,hewlett packard enterprise support center hpe end user license agreement applicability,,,,,,,,,,,,
2,this end user license agreement the agreement governs the use of accompanying software unless it is subject to a separate agreement between you and hewlett packard enterprise company and its subsidiaries hpe,,,,,,,,,,,,
3,by downloading copying or using the software you agree to this agreement,,,,,,,,,,,,
4,hpe provides translations of this agreement in certain languages other than english which may be found at http  wwwhpecom software swlicensing,,,,,,,,,,,,
5,this agreement includes supporting material accompanying the software or referenced by hpe which may be software license information additional license authorizations software specifications published warranties supplier terms open source software licenses and similar content supporting material,,,,,,,,,,,,
6,additional license authorizations are at http  wwwhpecom software swlicensing,,,,,,,,,,,,
7,if you agree to this agreement on behalf of another person or entity you warrant you have authority to do so,,,,,,,,,,,,
8,if you obtained software as a consumer nothing in this agreement affects your statutory rights,,,,,,,,,,,,
9,hpe may elect to deliver software and related software product or license information by electronic transmission or download,,,,,,,,,,,,
10,if you abide by this agreement hpe grants you a non exclusive non transferable license to use one copy of the version or release of the accompanying software for your internal purposes only and is subject to any specific software licensing information that is in the software product or its supporting material,,,,,,,,,,,,
11,your use is subject to the following restrictions unless specifically allowed in supporting material you may not use software to provide services to third parties,,,,,,,,,,,,
12,you may not make copies and distribute resell or sublicense software to third parties,,,,,,,,,,,,
13,you may not download and use patches enhancements bug fixes or similar updates unless you have a license to the underlying software,,,,,,,,,,,,
14,however such license doesnt automatically give you a right to receive such updates and hpe reserves the right to make such updates only available to customers with support contracts,,,,,,,,,,,,
15,you may not copy software or make it available on a public or external distributed network,,,,,,,,,,,,
16,you may not allow access on an intranet unless it is restricted to authorized users,,,,,,,,,,,,
17,you may make one copy of the software for archival purposes or when it is an essential step in authorized use,,,,,,,,,,,,
18,you may not modify reverse engineer disassemble decrypt decompile or make derivative works of software,,,,,,,,,,,,
19,if you have a mandatory right to do so under statute you must inform hpe in writing about such modifications,,,,,,,,,,,,
20,some software may require keys or other technical protection measures and hpe may monitor your compliance with the agreement remotely or otherwise,,,,,,,,,,,,
21,if hpe makes a license management program for recording and reporting license usage information you will use such program no later than 180 days from the date its made available,,,,,,,,,,,,
