id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,intel sample source code license agreement code samples license agreement version december 2015 important   read before copying installing or using,,,,,,,,,,,,
2,do not copy install or use the materials as defined below provided under this license agreement agreement from intel corporation âintelâ until you âyouâ have carefully read the following terms and conditions,,,,,,,,,,,,
3,by copying installing or otherwise using the materials you agree to be bound by the terms of this agreement,,,,,,,,,,,,
4,if you do not agree to the terms of this agreement do not copy install or use the materials,,,,,,,,,,,,
5,if you are agreeing to the terms and conditions of this agreement on behalf of a company or other legal entity âlegal entityâ you represent and warrant that you have the legal authority to bind that legal entity to the agreement in which case you or your will mean such legal entity,,,,,,,,,,,,
6,by agreeing to this agreement you affirm that you are of legal age 18 years old or older to enter into this agreement,,,,,,,,,,,,
7,if you are not of legal age you may not enter into this agreement and either your parent legal guardian or legal entity must agree to the terms and conditions of this agreement and enter into this agreement in which case you or your will mean such parent legal guardian or legal entity,,,,,,,,,,,,
8,third party programs as defined below even if included with the distribution of the materials are governed by separate third party license terms including without limitation open source software license terms,,,,,,,,,,,,
9,such third party license terms and not this agreement govern your use of the third party programs and intel is not liable for the third party programs,,,,,,,,,,,,
10,license grant subject to the terms and conditions of this agreement intel grants you a non exclusive worldwide non assignable royalty free limited right and license a under its copyrights to 1 copy modify and compile the sample source code and distribute it solely in your products in executable and source code form 2 copy and distribute the redistributables solely with your products 3 copy modify and distribute the end user documentation solely with your products,,,,,,,,,,,,
11,under its patents to 1 make copies of the materials internally only 2 use the materials internally only and 3 offer to distribute and distribute but not sell the materials only as part of or with your products under intelâs copyright license granted in section 2a but only under the terms of that copyright license and not as a sale but this right does not include the right to sub license 4 provided further that the license under the licensed patent claims does not and will not apply to any modifications to or derivative works of the materials whether made by you your end user which for all purposes under this agreement will mean either an end user a customer reseller distributor or other channel partner or any third party even if the modification and creation of derivative works are permitted under 2a,,,,,,,,,,,,
12,license restrictions except as expressly provided in this agreement you may not i use copy distribute or publicly display the materials ii,,,,,,,,,,,,
13,reverse assemble reverse compile or otherwise reverse engineer any software provided solely in binary form iii,,,,,,,,,,,,
14,rent or lease the materials to any third party iv,,,,,,,,,,,,
15,assign this agreement or display the materials v assign this agreement or transfer the materials vi,,,,,,,,,,,,
16,modify adapt or translate the materials in whole or in part vii,,,,,,,,,,,,
17,distribute sublicense or transfer the source code form of the materials or derivatives thereof to any third party viii,,,,,,,,,,,,
18,distribute the materials except as part of your products ix,,,,,,,,,,,,
19,include the materials in malicious deceptive or unlawful programs or products x modify create a derivative work link or distribute the materials so that any part of it becomes subject to an excluded license,,,,,,,,,,,,
20,upon intels release of an update upgrade or new version of the materials you will make reasonable efforts to discontinue distribution of the enclosed materials and you will make reasonable efforts to distribute such updates upgrades or new versions to your customers who have received the materials herein,,,,,,,,,,,,
21,distribution of the materials is also subject to the following limitations,,,,,,,,,,,,
22,you i will be solely responsible to your customers for any update or support obligation or other liability which may arise from the distribution ii,,,,,,,,,,,,
23,will not make any statement that your product is certified or that its performance is guaranteed by intel iii,,,,,,,,,,,,
24,will not use intels name or trademarks to market your product without written permission iv,,,,,,,,,,,,
25,will prohibit disassembly and reverse engineering of the materials provided in executable form v will not publish reviews of materials without written permission by intel and vi,,,,,,,,,,,,
26,will indemnify hold harmless and defend intel and its suppliers from and against any claims or lawsuits including attorneys fees that arise or result from your distribution of any product,,,,,,,,,,,,
27,ownership title to the materials and all copies thereof remain with intel or its suppliers,,,,,,,,,,,,
28,the materials are copyrighted and are protected by united states copyright laws and international treaty provisions,,,,,,,,,,,,
29,you will not remove any copyright notice from the materials,,,,,,,,,,,,
30,you agree to prevent unauthorized copying of the materials,,,,,,,,,,,,
31,except as expressly provided herein intel does not grant any express or implied right to you under intel patents copyrights trademarks or trade secret information,,,,,,,,,,,,
32,intel disclaims all warranties of any kind and the terms and remedies provided in this agreement are instead of any other warranty or condition express implied or statutory including those regarding merchantability fitness for any particular purpose non infringement or any warranty arising out of any course of dealing usage of trade proposal specification or sample,,,,,,,,,,,,
33,intel does not assume and does not authorize any person to assume on its behalf any other liability,,,,,,,,,,,,
34,intel may make changes to the materials or to items referenced therein at any time without notice but is not obligated to support update or provide training for the materials,,,,,,,,,,,,
35,intel may in its sole discretion offer such support update or training services under separate terms at intelâs then current rates,,,,,,,,,,,,
36,you may request additional information on intelâs service offerings from an intel sales representative,,,,,,,,,,,,
37,user submissions you agree that any material information or other communication including all data images sounds text and other things embodied therein you transmit or post to an intel website will be considered non confidential communications,,,,,,,,,,,,
38,intel will have no confidentiality obligations with respect to the communications,,,,,,,,,,,,
39,you agree that intel and its designees will be free to copy modify create derivative works publicly display disclose distribute license and sublicense through multiple tiers of distribution and licensees incorporate and otherwise use the communications including derivative works thereto for any and all commercial or non commercial purposes,,,,,,,,,,,,
40,limitation of liability neither intel nor its suppliers shall be liable for any damages whatsoever including without limitation damages for loss of business profits business interruption loss of business information or other loss arising out of the use of or inability to use the materials even if intel has been advised of the possibility of such damages,,,,,,,,,,,,
41,because some jurisdictions prohibit the exclusion or limitation of liability for consequential or incidental damages the above limitation may not apply to you,,,,,,,,,,,,
42,term and termination this agreement commences upon your copying installing or using the materials and continues until terminated,,,,,,,,,,,,
43,either you or intel may terminate this agreement at any time upon 30 days prior written notice to the other party,,,,,,,,,,,,
44,intel may terminate this license at any time if you are in breach of any of its terms and conditions,,,,,,,,,,,,
45,upon termination you will immediately destroy the materials or return all copies of the materials to intel along with any copies you have made,,,,,,,,,,,,
46,after termination the license grant to any materials or redistributables distributed by you in accordance with the terms and conditions of this agreement prior to the effective date of such termination will survive any such termination of this agreement,,,,,,,,,,,,
47,us government restricted rights the technical data and computer software covered by this license is a âcommercial itemâ as such term is defined by the far 2101 48 cfr,,,,,,,,,,,,
48,2101 and is âcommercial computer softwareâ and âcommercial computer software documentationâ as specified under far 12212 48 cfr,,,,,,,,,,,,
49,this commercial computer software and related documentation is provided to end users for use by and on behalf of the us government with only those rights as are granted to all other end users pursuant to the terms and conditions herein,,,,,,,,,,,,
50,use for or on behalf of the us government is permitted only if the party acquiring or using this software is properly authorized by an appropriate us government official,,,,,,,,,,,,
51,this use by or for the us government clause is in lieu of and supersedes any other far dfars or other provision that addresses government rights in the computer software or documentation covered by this license,,,,,,,,,,,,
52,all copyright licenses granted to the us government are coextensive with the technical data and computer software licenses granted herein,,,,,,,,,,,,
53,the us government will only have the right to reproduce distribute perform display and prepare derivative works as needed to implement those rights,,,,,,,,,,,,
54,applicable laws all disputes arising out of or related to this agreement whether based on contract tort or any other legal or equitable theory will in all respects be governed by and construed and interpreted under the laws of the united states of america and the state of delaware without reference to conflict of laws principles,,,,,,,,,,,,
55,the parties agree that the united nations convention on contracts for the international sale of goods 1980 is specifically excluded from and will not apply to this agreement,,,,,,,,,,,,
56,all disputes arising out of or related to this agreement whether based on contract tort or any other legal or equitable theory will be subject to the exclusive jurisdiction of the courts of the state of delaware or of the federal courts sitting in that state,,,,,,,,,,,,
57,each party submits to the personal jurisdiction of those courts and waives all objections to that jurisdiction and venue for those disputes,,,,,,,,,,,,
58,severability the parties intend that if a court holds that any provision or part of this agreement is invalid or unenforceable under applicable law the court will modify the provision to the minimum extent necessary to make it valid and enforceable or if it cannot be made valid and enforceable the parties intend that the court will sever and delete the provision or part from this agreement,,,,,,,,,,,,
59,any change to or deletion of a provision or part of this agreement under this section will not affect the validity or enforceability of the remainder of this agreement which will continue in full force and effect,,,,,,,,,,,,
60,export you must comply with all laws and regulations of the united states and other countries governing the export re export import transfer distribution use and servicing of software,,,,,,,,,,,,
61,in particular you must not a sell or transfer software to a country subject to sanctions or to any entity listed on a denial order published by the united states government or any other relevant government or b use sell or transfer software for the development design manufacture or production of nuclear missile chemical or biological weapons or for any other purpose prohibited by the united states government or other applicable government without first obtaining all authorizations required by all applicable laws,,,,,,,,,,,,
