id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,terms of use all scripts available here are original scripts written by the author himself and are protected by international copyright laws,0,0,0,0,0,0,0,1,0,0,0,0
2,the terms of use listed below will have to be accepted by those who shall be using these scripts 1,0,0,0,0,0,0,0,0,0,0,0,0
3,the scripts found here may be used on both personal and commercial web sites free of charge,1,0,0,1,0,0,0,0,0,0,0,0
4,however users may not specifically sell these scripts or add them to a product on sale without the expressed written permission of the author,1,0,0,0,0,0,0,0,0,0,0,0
5,these scripts may also not be put up at another script archive without prior permission of the author,0,0,0,0,0,0,0,0,0,0,0,0
6,users must agree not to remove the copyright notice inside each script,0,0,0,0,0,0,0,1,0,0,0,0
7,this notice is the one that appears inside the <script> tag of each script as reproduced below | <!   copyright 200_ sandeep gangadharan   > <!   for more free scripts go to http  wwwsivamdesigncom scripts    > | if users wish to insert the scripts into external js files the copyright notices can be retained as usual within the <script> tags as shown below | <script languagejavascript typetext javascript srcscriptjs> <!   copyright 200_ sandeep gangadharan   > <!   for more free scripts go to http  wwwsivamdesigncom scripts    > < script> | 3,0,0,0,0,0,0,0,0,0,0,0,0
8,although the use of these scripts are not in any way harmful to any machines the users must agree not to hold the author liable for any damage resulting from either the proper or improper use of any of the scripts,0,0,0,0,0,0,0,0,0,0,0,0
9,the use of these scripts is at the users own risk,0,0,0,0,0,0,0,0,0,0,0,0
10,it would be very much appreciated if a link back to the authors home page is included although it is not required,0,0,0,0,0,0,0,0,0,0,0,0
11,if you use any of the scripts listed here it will be understood that you have read and agreed to the above usage terms and conditions,0,0,0,0,0,0,0,0,0,0,0,0
